,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
116,14,41.16402399993967,81.0,1515.0,False,100,0.4,1000
117,15,44.08478309994098,81.0,1616.0,False,100,0.4,1000
118,16,47.00506679993123,81.0,1717.0,False,100,0.4,1000
119,17,49.91456669999752,81.0,1818.0,False,100,0.4,1000
120,18,52.82088200002909,81.0,1919.0,False,100,0.4,1000
121,19,55.73225659993477,81.0,2020.0,False,100,0.4,1000
122,20,58.642442199983634,81.0,2121.0,False,100,0.4,1000
123,21,61.549304499989375,81.0,2222.0,False,100,0.4,1000
124,22,64.45675839995965,81.0,2323.0,False,100,0.4,1000
125,23,67.36440510000102,81.0,2424.0,False,100,0.4,1000
126,24,70.26971449994016,81.0,2525.0,False,100,0.4,1000
127,25,73.17947179998737,81.0,2626.0,False,100,0.4,1000
128,26,76.09399480000138,81.0,2727.0,False,100,0.4,1000
129,27,79.01066229993012,81.0,2828.0,False,100,0.4,1000
130,28,81.92594260000624,81.0,2929.0,False,100,0.4,1000
131,29,84.83604259998538,81.0,3030.0,False,100,0.4,1000
132,30,87.74678209994454,81.0,3131.0,False,100,0.4,1000
133,31,90.66140560002532,81.0,3232.0,False,100,0.4,1000
134,32,93.57170269999187,81.0,3333.0,False,100,0.4,1000
135,33,96.50615329993889,81.0,3434.0,False,100,0.4,1000
136,34,99.43732339993585,81.0,3535.0,False,100,0.4,1000
137,35,102.36771719995886,81.0,3636.0,False,100,0.4,1000
138,36,105.29197269992437,81.0,3737.0,False,100,0.4,1000
139,37,108.1953781999182,81.0,3838.0,False,100,0.4,1000
140,38,111.10759709996637,81.0,3939.0,False,100,0.4,1000
141,39,114.02206129999831,81.0,4040.0,False,100,0.4,1000
142,40,116.96310789999552,81.0,4141.0,False,100,0.4,1000
143,41,119.90529489994515,81.0,4242.0,False,100,0.4,1000
144,42,122.81446309993044,81.0,4343.0,False,100,0.4,1000
145,43,125.72531909996178,81.0,4444.0,False,100,0.4,1000
146,44,128.63510109996423,81.0,4545.0,False,100,0.4,1000
147,45,131.55100999993738,81.0,4646.0,False,100,0.4,1000
148,46,134.4616771999281,81.0,4747.0,False,100,0.4,1000
149,47,137.37326100002974,81.0,4848.0,False,100,0.4,1000
150,48,140.2902673999779,81.0,4949.0,False,100,0.4,1000
151,49,143.2035418000305,81.0,5050.0,False,100,0.4,1000
152,50,146.1096137999557,81.0,5151.0,False,100,0.4,1000
153,51,149.01714849995915,81.0,5252.0,False,100,0.4,1000
154,52,151.92027599993162,81.0,5353.0,False,100,0.4,1000
155,53,154.8337121999357,81.0,5454.0,False,100,0.4,1000
156,54,157.75588539999444,81.0,5555.0,False,100,0.4,1000
157,55,160.6811899000313,81.0,5656.0,False,100,0.4,1000
158,56,163.60761870001443,81.0,5757.0,False,100,0.4,1000
159,57,166.53493900003377,81.0,5858.0,False,100,0.4,1000
160,58,169.44061239995062,81.0,5959.0,False,100,0.4,1000
161,59,172.34820130001754,81.0,6060.0,False,100,0.4,1000
162,60,175.253463299945,81.0,6161.0,False,100,0.4,1000
163,61,178.15695510001387,81.0,6262.0,False,100,0.4,1000
164,62,181.05814390000887,81.0,6363.0,False,100,0.4,1000
165,63,183.97370839992072,81.0,6464.0,False,100,0.4,1000
166,64,186.88142009999137,81.0,6565.0,False,100,0.4,1000
167,65,189.78522049996536,81.0,6666.0,False,100,0.4,1000
168,66,192.68739670002833,81.0,6767.0,False,100,0.4,1000
169,67,195.59159199998248,81.0,6868.0,False,100,0.4,1000
170,68,198.506544200005,81.0,6969.0,False,100,0.4,1000
171,69,201.4243496999843,81.0,7070.0,False,100,0.4,1000
172,70,204.3454628000036,81.0,7171.0,False,100,0.4,1000
173,71,207.26248959999066,81.0,7272.0,False,100,0.4,1000
174,72,210.18950290000066,81.0,7373.0,False,100,0.4,1000
175,73,213.11747920000926,81.0,7474.0,False,100,0.4,1000
176,74,216.03921319998335,81.0,7575.0,False,100,0.4,1000
177,75,218.95233529992402,81.0,7676.0,False,100,0.4,1000
178,76,221.86743500002194,81.0,7777.0,False,100,0.4,1000
179,77,224.77787949994672,81.0,7878.0,False,100,0.4,1000
180,78,227.6865709000267,81.0,7979.0,False,100,0.4,1000
181,79,230.6011006999761,81.0,8080.0,False,100,0.4,1000
182,80,233.52832749998197,81.0,8181.0,False,100,0.4,1000
183,81,236.45323199999984,81.0,8282.0,False,100,0.4,1000
184,82,239.3745867999969,81.0,8383.0,False,100,0.4,1000
185,83,242.29322320001666,81.0,8484.0,False,100,0.4,1000
186,84,245.21189039992169,81.0,8585.0,False,100,0.4,1000
187,85,248.1323121000314,81.0,8686.0,False,100,0.4,1000
188,86,251.06073639995884,81.0,8787.0,False,100,0.4,1000
189,87,253.98774869996123,81.0,8888.0,False,100,0.4,1000
190,88,256.9133571999846,81.0,8989.0,False,100,0.4,1000
191,89,259.8400860999245,81.0,9090.0,False,100,0.4,1000
192,90,262.76986609993037,81.0,9191.0,False,100,0.4,1000
193,91,265.69717619998846,81.0,9292.0,False,100,0.4,1000
194,92,268.61970089992974,81.0,9393.0,False,100,0.4,1000
195,93,271.53576769994106,81.0,9494.0,False,100,0.4,1000
196,94,274.4482629999984,81.0,9595.0,False,100,0.4,1000
197,95,277.36922609992325,81.0,9696.0,False,100,0.4,1000
198,96,280.2843913999386,81.0,9797.0,False,100,0.4,1000
199,97,283.2040160000324,81.0,9898.0,False,100,0.4,1000
200,98,286.11561640002765,81.0,9999.0,False,100,0.4,1000
201,99,289.0302896000212,81.0,10100.0,False,100,0.4,1000
202,100,291.9425098999636,81.0,10201.0,False,100,0.4,1000
203,101,294.87095190002583,81.0,10302.0,False,100,0.4,1000
204,0,0.1224846999393776,109.0,100.0,False,100,0.6,1000
205,1,3.0658126999624074,83.0,202.0,False,100,0.6,1000
206,2,6.177974999998696,82.0,304.0,False,100,0.6,1000
207,3,9.071945699979551,81.0,406.0,False,100,0.6,1000
208,4,11.983273299993016,79.0,508.0,False,100,0.6,1000
209,5,14.895422099973075,79.0,609.0,False,100,0.6,1000
210,6,17.813762499950826,79.0,710.0,False,100,0.6,1000
211,7,20.72926329995971,79.0,811.0,False,100,0.6,1000
212,8,23.643957799999043,79.0,912.0,False,100,0.6,1000
213,9,26.559075199998915,79.0,1013.0,False,100,0.6,1000
214,10,29.476220299955457,79.0,1114.0,False,100,0.6,1000
215,11,32.4043732000282,79.0,1215.0,False,100,0.6,1000
216,12,35.32252649997827,79.0,1316.0,False,100,0.6,1000
217,13,38.24903720000293,79.0,1417.0,False,100,0.6,1000
218,14,41.16402399993967,79.0,1518.0,False,100,0.6,1000
219,15,44.08478309994098,79.0,1619.0,False,100,0.6,1000
220,16,47.00506679993123,79.0,1720.0,False,100,0.6,1000
221,17,49.91456669999752,79.0,1821.0,False,100,0.6,1000
222,18,52.82088200002909,79.0,1922.0,False,100,0.6,1000
223,19,55.73225659993477,79.0,2023.0,False,100,0.6,1000
224,20,58.642442199983634,79.0,2124.0,False,100,0.6,1000
225,21,61.549304499989375,79.0,2225.0,False,100,0.6,1000
226,22,64.45675839995965,79.0,2326.0,False,100,0.6,1000
227,23,67.36440510000102,79.0,2427.0,False,100,0.6,1000
228,24,70.26971449994016,79.0,2528.0,False,100,0.6,1000
229,25,73.17947179998737,79.0,2629.0,False,100,0.6,1000
230,26,76.09399480000138,79.0,2730.0,False,100,0.6,1000
231,27,79.01066229993012,79.0,2831.0,False,100,0.6,1000
232,28,81.92594260000624,79.0,2932.0,False,100,0.6,1000
233,29,84.83604259998538,79.0,3033.0,False,100,0.6,1000
234,30,87.74678209994454,79.0,3134.0,False,100,0.6,1000
235,31,90.66140560002532,79.0,3235.0,False,100,0.6,1000
236,32,93.57170269999187,79.0,3336.0,False,100,0.6,1000
237,33,96.50615329993889,79.0,3437.0,False,100,0.6,1000
238,34,99.43732339993585,79.0,3538.0,False,100,0.6,1000
239,35,102.36771719995886,79.0,3639.0,False,100,0.6,1000
240,36,105.29197269992437,79.0,3740.0,False,100,0.6,1000
241,37,108.1953781999182,79.0,3841.0,False,100,0.6,1000
242,38,111.10759709996637,79.0,3942.0,False,100,0.6,1000
243,39,114.02206129999831,79.0,4043.0,False,100,0.6,1000
244,40,116.96310789999552,79.0,4144.0,False,100,0.6,1000
245,41,119.90529489994515,79.0,4245.0,False,100,0.6,1000
246,42,122.81446309993044,79.0,4346.0,False,100,0.6,1000
247,43,125.72531909996178,79.0,4447.0,False,100,0.6,1000
248,44,128.63510109996423,79.0,4548.0,False,100,0.6,1000
249,45,131.55100999993738,79.0,4649.0,False,100,0.6,1000
250,46,134.4616771999281,79.0,4750.0,False,100,0.6,1000
251,47,137.37326100002974,79.0,4851.0,False,100,0.6,1000
252,48,140.2902673999779,79.0,4952.0,False,100,0.6,1000
253,49,143.2035418000305,79.0,5053.0,False,100,0.6,1000
254,50,146.1096137999557,79.0,5154.0,False,100,0.6,1000
255,51,149.01714849995915,79.0,5255.0,False,100,0.6,1000
256,52,151.92027599993162,79.0,5356.0,False,100,0.6,1000
257,53,154.8337121999357,79.0,5457.0,False,100,0.6,1000
258,54,157.75588539999444,79.0,5558.0,False,100,0.6,1000
259,55,160.6811899000313,79.0,5659.0,False,100,0.6,1000
260,56,163.60761870001443,79.0,5760.0,False,100,0.6,1000
261,57,166.53493900003377,79.0,5861.0,False,100,0.6,1000
262,58,169.44061239995062,79.0,5962.0,False,100,0.6,1000
263,59,172.34820130001754,79.0,6063.0,False,100,0.6,1000
264,60,175.253463299945,79.0,6164.0,False,100,0.6,1000
265,61,178.15695510001387,79.0,6265.0,False,100,0.6,1000
266,62,181.05814390000887,79.0,6366.0,False,100,0.6,1000
267,63,183.97370839992072,79.0,6467.0,False,100,0.6,1000
268,64,186.88142009999137,79.0,6568.0,False,100,0.6,1000
269,65,189.78522049996536,79.0,6669.0,False,100,0.6,1000
270,66,192.68739670002833,79.0,6770.0,False,100,0.6,1000
271,67,195.59159199998248,79.0,6871.0,False,100,0.6,1000
272,68,198.506544200005,79.0,6972.0,False,100,0.6,1000
