,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters,hamming_factors_decays
41,41,0.5680130999999999,87.17320195290708,4260.0,100,0.2,100,
42,42,0.5808483000000013,87.17320195290708,4361.0,100,0.2,100,
43,43,0.5946132000000013,87.17320195290708,4462.0,100,0.2,100,
44,44,0.6099644000000009,87.17320195290708,4563.0,100,0.2,100,
45,45,0.6226251000000005,87.17320195290708,4664.0,100,0.2,100,
46,46,0.6366738999999999,87.17320195290708,4765.0,100,0.2,100,
47,47,0.6492560000000012,87.17320195290708,4866.0,100,0.2,100,
48,48,0.6620923000000012,87.17320195290708,4967.0,100,0.2,100,
49,49,0.6757629999999999,83.7137468642838,5069.0,100,0.2,100,
50,50,0.6894496000000014,83.7137468642838,5170.0,100,0.2,100,
51,51,0.7087710000000005,83.7137468642838,5271.0,100,0.2,100,
52,52,0.7223047999999999,83.7137468642838,5372.0,100,0.2,100,
53,53,0.7377736000000006,83.7137468642838,5473.0,100,0.2,100,
54,54,0.7523904000000012,83.7137468642838,5574.0,100,0.2,100,
55,55,0.7657794000000013,83.7137468642838,5675.0,100,0.2,100,
56,56,0.7785761000000004,83.7137468642838,5776.0,100,0.2,100,
57,57,0.7911810000000017,83.7137468642838,5877.0,100,0.2,100,
58,58,0.8038240999999999,83.7137468642838,5978.0,100,0.2,100,
59,59,0.8171737999999991,83.7137468642838,6079.0,100,0.2,100,
60,0,0.0036193999999998283,182.4047677062297,100.0,100,0.4,100,
61,1,0.02139179999999996,145.78483194664844,202.0,100,0.4,100,
62,2,0.03462440000000022,145.78483194664844,303.0,100,0.4,100,
63,3,0.04796289999999992,137.96781182575543,405.0,100,0.4,100,
64,4,0.06269090000000155,137.96781182575543,506.0,100,0.4,100,
65,5,0.07630990000000004,137.96781182575543,607.0,100,0.4,100,
66,6,0.09013090000000012,124.45544102260725,709.0,100,0.4,100,
67,7,0.1046168999999999,124.45544102260725,810.0,100,0.4,100,
68,8,0.11775370000000152,120.96803951245454,912.0,100,0.4,100,
69,9,0.13045600000000057,120.96803951245454,1013.0,100,0.4,100,
70,10,0.14286810000000116,115.0931187382896,1115.0,100,0.4,100,
71,11,0.16206500000000013,115.0931187382896,1216.0,100,0.4,100,
72,12,0.17575930000000106,115.0931187382896,1317.0,100,0.4,100,
73,13,0.18829780000000085,115.0931187382896,1418.0,100,0.4,100,
74,14,0.20129640000000038,97.38115807955973,1520.0,100,0.4,100,
75,15,0.216288500000001,97.38115807955973,1621.0,100,0.4,100,
76,16,0.22902850000000008,97.38115807955973,1722.0,100,0.4,100,
77,17,0.2415571000000014,97.38115807955973,1823.0,100,0.4,100,
78,18,0.2545459000000001,97.38115807955973,1924.0,100,0.4,100,
79,19,0.26814610000000094,97.38115807955973,2025.0,100,0.4,100,
80,20,0.28066990000000125,97.38115807955973,2126.0,100,0.4,100,
81,21,0.3002229000000014,97.38115807955973,2227.0,100,0.4,100,
82,22,0.31292030000000004,97.38115807955973,2328.0,100,0.4,100,
83,23,0.32549830000000135,97.38115807955973,2429.0,100,0.4,100,
84,24,0.33812130000000096,97.38115807955973,2530.0,100,0.4,100,
85,0,0.0036193999999998283,182.4047677062297,100.0,100,0.6,100,
86,1,0.02139179999999996,147.72441400499065,202.0,100,0.6,100,
87,2,0.03462440000000022,138.84411657201883,304.0,100,0.6,100,
88,3,0.04796289999999992,133.65598953093956,406.0,100,0.6,100,
89,4,0.06269090000000155,133.65598953093956,507.0,100,0.6,100,
