,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters,hamming_factors_decays
0,0,197.66649171001617,100,0.003705599985551089,"[19, 3, 18, 6, 13, 4, 0, 17, 12, 11, 15, 10, 9, 2, 16, 7, 8, 1, 5, 14]",100,0.2,100,
1,10,129.7909731639089,1117,0.11887760000536218,"[6, 16, 17, 1, 0, 18, 11, 10, 3, 5, 9, 13, 19, 15, 8, 2, 14, 12, 4, 7]",100,0.2,100,
2,20,113.63488449037541,2132,0.23306580004282296,"[6, 16, 17, 1, 18, 0, 11, 3, 10, 5, 9, 13, 8, 15, 7, 12, 19, 2, 4, 14]",100,0.2,100,
3,50,86.30119214452687,5167,0.5683477999991737,"[6, 14, 17, 1, 18, 4, 2, 12, 0, 11, 3, 10, 5, 9, 13, 8, 15, 19, 7, 16]",100,0.2,100,
4,100,81.26123377529358,10220,1.1233822000212967,"[6, 14, 17, 1, 18, 4, 12, 2, 5, 0, 11, 3, 10, 9, 15, 8, 13, 19, 7, 16]",100,0.2,100,
5,0,197.66649171001617,100,0.0035737999714910984,"[19, 3, 18, 6, 13, 4, 0, 17, 12, 11, 15, 10, 9, 2, 16, 7, 8, 1, 5, 14]",100,0.4,100,
6,10,134.83754477274456,1115,0.11952579999342561,"[11, 18, 1, 4, 5, 3, 9, 13, 19, 14, 16, 2, 12, 6, 7, 17, 10, 8, 15, 0]",100,0.4,100,
7,20,112.52132446644259,2130,0.2347275000065565,"[15, 10, 0, 11, 3, 5, 1, 4, 18, 12, 19, 16, 6, 7, 17, 14, 2, 9, 13, 8]",100,0.4,100,
8,50,80.72954136859391,5174,0.5718591000186279,"[15, 9, 10, 0, 11, 3, 5, 18, 1, 4, 2, 12, 17, 14, 6, 7, 16, 19, 13, 8]",100,0.4,100,
9,100,77.07658425411668,10228,1.13124209997477,"[15, 9, 10, 5, 3, 0, 11, 18, 1, 4, 2, 12, 17, 14, 6, 16, 7, 19, 13, 8]",100,0.4,100,
10,0,197.66649171001617,100,0.003525199950672686,"[19, 3, 18, 6, 13, 4, 0, 17, 12, 11, 15, 10, 9, 2, 16, 7, 8, 1, 5, 14]",100,0.6,100,
11,10,144.92593400284613,1113,0.11996679997537285,"[1, 12, 10, 19, 13, 5, 0, 11, 2, 4, 8, 6, 9, 15, 7, 16, 14, 17, 3, 18]",100,0.6,100,
12,20,131.5438809009685,2127,0.23747209995053709,"[14, 12, 10, 9, 15, 6, 16, 17, 1, 4, 11, 0, 5, 3, 18, 2, 8, 13, 7, 19]",100,0.6,100,
13,50,117.83861646264039,5163,0.5781991999829188,"[16, 6, 12, 1, 10, 9, 15, 14, 17, 4, 11, 0, 5, 3, 18, 2, 19, 13, 8, 7]",100,0.6,100,
14,100,99.03017353454287,10225,1.145410900004208,"[16, 6, 2, 12, 5, 3, 10, 9, 8, 15, 13, 14, 17, 4, 18, 1, 11, 0, 19, 7]",100,0.6,100,
15,0,197.66649171001617,100,0.003508299996610731,"[19, 3, 18, 6, 13, 4, 0, 17, 12, 11, 15, 10, 9, 2, 16, 7, 8, 1, 5, 14]",100,0.8,100,
16,10,129.36772015548627,1115,0.12232949997996911,"[19, 16, 8, 6, 7, 15, 13, 10, 3, 11, 2, 5, 0, 18, 4, 12, 14, 17, 1, 9]",100,0.8,100,
17,20,107.7620196264429,2129,0.24159699998563156,"[6, 19, 16, 7, 15, 8, 13, 10, 3, 11, 9, 14, 17, 12, 2, 4, 1, 18, 0, 5]",100,0.8,100,
18,50,89.50185747475177,5167,0.5859925000113435,"[12, 6, 19, 16, 7, 13, 15, 8, 9, 10, 3, 11, 0, 5, 2, 4, 1, 18, 17, 14]",100,0.8,100,
19,100,83.35009978680196,10222,1.1604756999877281,"[12, 19, 6, 16, 7, 13, 15, 8, 9, 10, 5, 3, 0, 11, 18, 1, 4, 17, 14, 2]",100,0.8,100,
20,0,197.66649171001617,200,0.006927299953531474,"[19, 3, 18, 6, 13, 4, 0, 17, 12, 11, 15, 10, 9, 2, 16, 7, 8, 1, 5, 14]",200,0.2,100,
21,10,123.20050805732235,2216,0.23190339998109266,"[13, 6, 18, 0, 11, 1, 12, 19, 5, 3, 10, 2, 14, 17, 4, 9, 15, 8, 16, 7]",200,0.2,100,
22,20,106.68473717944212,4235,0.4576956999953836,"[9, 19, 13, 15, 16, 7, 6, 2, 12, 4, 18, 1, 14, 17, 11, 0, 5, 3, 10, 8]",200,0.2,100,
23,50,93.76141552533734,10272,1.1274401999544352,"[15, 9, 13, 19, 7, 16, 6, 2, 12, 4, 18, 5, 3, 10, 0, 11, 1, 17, 14, 8]",200,0.2,100,
24,100,91.69832153197518,20326,2.2334023999865167,"[15, 8, 13, 19, 7, 16, 6, 12, 2, 4, 18, 5, 10, 3, 0, 11, 1, 17, 14, 9]",200,0.2,100,
25,0,197.66649171001617,200,0.007264900021255016,"[19, 3, 18, 6, 13, 4, 0, 17, 12, 11, 15, 10, 9, 2, 16, 7, 8, 1, 5, 14]",200,0.4,100,
26,10,127.52482970743094,2216,0.23696920002112165,"[3, 5, 9, 10, 19, 15, 7, 16, 8, 14, 6, 13, 12, 17, 4, 2, 1, 18, 0, 11]",200,0.4,100,
27,20,108.49215022960298,4231,0.47053270001197234,"[3, 5, 9, 13, 19, 8, 15, 7, 14, 16, 6, 2, 17, 4, 12, 1, 18, 10, 11, 0]",200,0.4,100,
28,50,82.13231234411751,10271,1.1429971000179648,"[3, 5, 10, 9, 19, 13, 8, 15, 7, 16, 6, 14, 17, 12, 2, 4, 1, 18, 11, 0]",200,0.4,100,
29,100,81.42625600526517,20322,2.2553533000173047,"[3, 5, 10, 9, 19, 13, 15, 8, 7, 16, 6, 14, 17, 12, 2, 4, 1, 18, 11, 0]",200,0.4,100,
30,0,197.66649171001617,200,0.006961299979593605,"[19, 3, 18, 6, 13, 4, 0, 17, 12, 11, 15, 10, 9, 2, 16, 7, 8, 1, 5, 14]",200,0.6,100,
31,10,125.58670449957434,2217,0.237694300012663,"[12, 6, 4, 3, 9, 15, 8, 13, 7, 14, 17, 18, 10, 19, 16, 5, 0, 11, 1, 2]",200,0.6,100,
32,20,98.72417892538746,4234,0.46858519996749237,"[12, 1, 4, 3, 9, 15, 8, 13, 7, 16, 19, 6, 14, 17, 18, 5, 10, 0, 11, 2]",200,0.6,100,
33,50,94.40683909952814,10268,1.1435766000067815,"[1, 12, 4, 2, 9, 15, 8, 13, 7, 16, 19, 6, 14, 17, 18, 5, 10, 3, 0, 11]",200,0.6,100,
34,100,85.27474712199655,20326,2.266169899958186,"[4, 1, 18, 12, 2, 5, 10, 3, 0, 11, 9, 15, 8, 13, 7, 16, 19, 6, 14, 17]",200,0.6,100,
35,0,197.66649171001617,200,0.006984499981626868,"[19, 3, 18, 6, 13, 4, 0, 17, 12, 11, 15, 10, 9, 2, 16, 7, 8, 1, 5, 14]",200,0.8,100,
36,10,120.45449968949373,2213,0.24029530002735555,"[1, 4, 2, 6, 16, 13, 9, 7, 19, 15, 8, 14, 12, 18, 0, 11, 5, 3, 10, 17]",200,0.8,100,
